"site","ACI","ADI","AEI","NDSI","NDSI_A","NDSI_B","BI","H","Ht","Hs","M","R","sfm","rugo","zcr_mean"
"s2lam001_180526",60.2205087293378,2.1618237164557,0.143380612658228,0.63787332548615,0.419288858497056,1.75395538766331,3.40944447231821,0.953754309469543,0.98125964105203,0.974676310059145,0.00302951856026526,0.244156444058645,0.583474827037567,0.065203963926187,0.381256250879044
"s2lam001_180604",57.3551545622473,1.99263589873418,0.225226554852321,0.149069898944549,0.80806312134453,1.33822012577583,1.09629761612639,0.909412188448973,0.984105519675178,0.957717595250439,0.00512149117079909,0.371580166660318,0.374670559946217,0.0758651166242263,0.292978472954759
"s2lam001_180707",57.5188902365136,2.1253426812749,0.151194705179283,-0.23308605203143,0.940622415693823,0.673313959129339,1.87781956813041,0.924648984665248,0.987170207366167,0.964403024540055,0.00489302337642757,0.366587675625874,0.420650520355414,0.0864194166739098,0.277284831507304
"s2lam001_190401",57.4294606093982,1.24750536807818,0.6702582247557,-0.604087920671753,0.985925442141142,0.275338421463877,2.5679219945818,0.719678124718574,0.987495127390396,0.887709199121183,0.0293963525723935,0.517246153054629,0.345969910542535,0.027575921983877,0.0600269883279044
"s2lam001_190409",63.0082763153328,1.91052122162162,0.403593454054054,0.301332564551975,0.536643683057571,1.04861669565973,6.59012911433674,0.817312054616306,0.979320507754089,0.927321555432223,7.05300770299992e-12,0.304531398674663,0.474846894862282,0.0320007299432737,0.118531942567568
"s2lam001_190416",57.3032071536622,2.1062966109589,0.220430068493151,-0.0130598821080798,0.862754288608063,0.976458293672467,1.50466286578039,0.859868563784185,0.988572915536341,0.944729719202664,0.0088691507586122,0.497566127434529,0.384805577633792,0.063928662888813,0.155370405251142
"s2lam001_190520",57.5251104196357,2.26173856826568,0.0772027970479705,-0.0275724355761135,0.812740162353095,1.02680738702147,3.06641300742688,0.908008774823326,0.988432813992319,0.958241912320854,0.00683158086114085,0.342791343428765,0.447104634748791,0.0673105266537789,0.227663899138991
"s2lam001_200616",57.1584642925953,2.27001898360656,0.0441342568306011,0.265860316676042,0.734767569606955,1.49086520629438,1.76833880199047,0.960930026799511,0.988484371187185,0.977507771108721,1.44380264255743e-12,0.344794433264525,0.429946343171076,0.108079575203985,0.387371396857924
"s2lam001_200702",57.2974131141112,2.25787851775148,0.0537544230769231,0.00786416582667486,0.84929911057645,1.07478975229268,1.99891388834562,0.936773926927856,0.988070678836728,0.968708584619335,0.00466348818302404,0.251918226048481,0.416172239792148,0.0784734639607186,0.320415568499343
"s2lam001_210409",56.85366523415,2.27572012643678,0.0332544022988506,0.348405740798858,0.770313164914179,1.68318182680384,0.965298057121056,0.962376993456062,0.989129846772768,0.979910278224461,0.00266990325351257,0.371015677991961,0.457038199200758,0.145849956351906,0.383531533365262
