site,ACI,ADI,AEI,NDSI,NDSI_A,NDSI_B,BI,H,Ht,Hs,M,R,sfm,rugo,zcr_max,zcr_mean,zcr_min
s2llg006_170415,65.19532262,1.322093938,0.469955153,0.360128011,0.716162679,1.582462856,2.468637533,0.846178169,0.963402007,0.925774369,0.00043052,0.280931256,0.258572927,0.015785224,0.363213433,0.205478936,0.013346354
s2llg006_170422,62.88420528,2.24368674,0.090580618,0.199650748,0.726905445,1.129262992,7.223319905,0.904758322,0.988297475,0.955996661,0.000571505,0.190932905,0.286656041,0.045507651,0.274358486,0.156628457,0.045906377
s2llg006_170430,63.12156448,1.658927056,0.324825096,0.515213879,0.559759164,1.881105628,2.494088973,0.877308651,0.972822335,0.946090401,0.000467659,0.275009047,0.286298976,0.030075995,0.400456461,0.242503202,0.016722261
s2llg006_170506,67.66763586,1.400501659,0.502174915,0.504979351,0.490910726,1.525186613,5.599282057,0.784733346,0.959293862,0.903368816,0.001583623,0.384711485,0.260310894,0.025615936,0.364295664,0.182889686,0.008387839
s2llg006_170516,63.42930186,2.161911995,0.144663395,0.380694996,0.761563801,1.723785938,1.348461597,0.891101825,0.987591676,0.971300678,0.000307912,0.134695438,0.070024673,0.017254837,0.406418919,0.217980854,0.008540963
s2llg006_170527,62.49315311,1.289568351,0.452499084,0.327991789,0.737038501,1.542480262,2.523297387,0.806206885,0.966867068,0.91486041,0.000652849,0.380644715,0.259186434,0.032704041,0.351524452,0.170250357,0.011528511
s2llg006_170613,62.35613546,1.926163777,0.230290119,0.414744031,0.625373543,1.590121017,2.809963678,0.900683476,0.979488357,0.955680834,0.000445571,0.210499717,0.278795184,0.041150409,0.384178676,0.231773817,0.022182642
s2llg006_170708,61.79670618,1.425193168,0.439780687,0.367018711,0.723849287,1.645305144,1.938954588,0.860928514,0.973551973,0.93975961,0.000576614,0.379085091,0.27183054,0.035478776,0.376247323,0.203690278,0.010818244
s2llg006_180331,62.18601089,0.873786227,0.63816034,0.1299903,0.839609366,1.208408693,2.188344396,0.727873834,0.954724187,0.890117746,0.001063465,0.448303537,0.232449442,0.02019831,0.337904477,0.145320595,0.005291445
s2llg006_180414,64.86523571,1.55883675,0.470221112,-0.596883331,0.983512126,0.297691956,3.439840145,0.729591617,0.979341927,0.889925259,0.003260307,0.448491106,0.207793661,0.018982359,0.202268017,0.073952591,0.010433275
