site,ACI,ADI,AEI,NDSI,NDSI_A,NDSI_B,BI,H,Ht,Hs,M,R,sfm,rugo,zcr_mean,YYYY
s2lam031_190411,58.08406639,2.133945741,0.196853832,-0.137046706,0.890352925,0.73423019,3.023557696,0.891552359,0.987294937,0.954561132,0.009003271,0.430500218,0.416079226,0.062441657,0.191758998,2019
s2lam031_190506,80.25325915,2.00209969,0.303706711,0.209883329,0.770157973,1.321609937,3.293106418,0.882606448,0.952125669,0.964858748,0.01090414,0.515754772,0.462133373,0.03953552,0.303554495,2019
s2lam031_190520,88.53182386,1.812661643,0.399647608,0.048218996,0.855235275,1.029349211,3.47546033,0.777494836,0.954178668,0.937096979,0.039311221,0.449412372,0.413443361,0.036366317,0.150314097,2019
s2lam031_190603,58.33266963,1.969839307,0.296315117,-0.44680104,0.962225845,0.456294605,2.088254942,0.879609662,0.986559017,0.951720135,0.007071919,0.329228247,0.406863103,0.048770475,0.191310971,2019
s2lam031_190619,57.66608818,2.289069469,0.039276086,0.507895222,0.580266469,1.742162905,2.668991442,0.950416064,0.985994957,0.975192165,0.007121883,0.671855021,0.43846835,0.087027846,0.460470742,2019
s2lam032_190406,64.94905179,1.994201288,0.259063854,-0.451142764,0.967412494,0.4043109,3.585063417,0.879269766,0.975413008,0.953225725,0.008963652,0.366692126,0.351683284,0.050090767,0.176327631,2019
s2lam032_190412,58.99484829,1.832800348,0.363439486,0.065950935,0.831091946,1.20636453,2.128094899,0.900140919,0.980095097,0.956076714,0.006249256,0.338255539,0.335479847,0.048599163,0.289395729,2019
s2lam032_190422,61.85202829,2.196333943,0.155273591,0.322096587,0.691814388,1.526136983,2.894213319,0.947647415,0.978743712,0.97457287,0.003770531,0.647821984,0.30898906,0.027523332,0.360044593,2019
s2lam032_190505,60.15115779,2.186735912,0.123393603,0.375386411,0.684977638,1.671188279,1.987927202,0.947264737,0.984478681,0.974512733,0.003531764,0.402003726,0.322861573,0.083425487,0.364750466,2019
s2lam032_190531,65.19616212,1.935908144,0.293134899,0.422945834,0.638272351,1.658990317,3.000520104,0.925017287,0.969520316,0.966274467,0.003941953,0.6587818,0.332831697,0.067875764,0.36851563,2019
s2lam032_190620,58.23195693,2.130352781,0.192422382,0.067455005,0.807950546,1.008785831,2.682533997,0.895379429,0.988228057,0.956460131,0.006867674,0.425906992,0.345611182,0.069310896,0.192528365,2019
s2lam033_190406,62.36914645,1.741229201,0.41965447,-0.348373149,0.964494333,0.50388819,3.452733187,0.890047433,0.977108272,0.953376503,0.008867313,0.33836439,0.393186334,0.034998838,0.228075246,2019
s2lam033_190418,59.08093546,1.919312803,0.321482217,-0.55919404,0.974287952,0.304280088,2.654537782,0.910103565,0.981486245,0.961321114,0.00596259,0.541697781,0.289189916,0.037583964,0.244811181,2019
s2lam033_190511,57.86205558,2.095041447,0.255427226,-0.166534686,0.847489623,0.632184236,6.253630643,0.892761166,0.98666201,0.951668239,0.009060504,0.361443295,0.402863365,0.043746026,0.16010923,2019
s2lam033_190522,58.60037305,2.127860879,0.168778656,-0.44003802,0.953981039,0.411394194,4.878393429,0.911435799,0.985539955,0.960648635,0.00708544,0.480010655,0.344790747,0.047246529,0.193869275,2019
s2lam033_190603,59.13674057,1.900604993,0.338645984,-0.091215314,0.907369355,0.890794431,2.428063368,0.893397099,0.984053907,0.955491064,0.009847368,0.399403908,0.302497375,0.0603552,0.281716596,2019
s2lam033_190617,57.44902683,2.298534138,0.01130014,0.53759677,0.614492888,2.080239251,1.085122012,0.97356418,0.987604742,0.983564138,0.003081693,0.964035975,0.283748722,0.068132584,0.488060648,2019
s2lam033_190627,57.31428076,2.283119223,0.036550694,-0.389494872,0.943793224,0.420544178,6.299128009,0.876868066,0.989918078,0.946530397,0.014199269,0.287744321,0.387377495,0.059144252,0.13079496,2019
s2lam034_190329,59.49818404,2.01482875,0.240225026,0.079456322,0.857957558,1.066241879,2.626264824,0.919957472,0.983550261,0.96485785,0.00543487,0.37706411,0.450047053,0.048899879,0.26790929,2019
s2lam034_190405,62.01534923,1.844835214,0.369839057,-0.297495929,0.956700657,0.577912424,2.567427887,0.87196416,0.982956558,0.949027458,0.00954882,0.426623838,0.281961336,0.025278842,0.170017047,2019
s2lam034_190413,57.73955923,2.20454949,0.095644934,0.375958491,0.682466077,1.734874882,1.128178767,0.934691212,0.986320519,0.969886333,0.00418282,0.493869381,0.299164138,0.050398268,0.320029474,2019
s2lam034_190510,57.33760833,2.276046474,0.038948408,0.479393254,0.624317041,1.813097508,1.691494534,0.949549847,0.980202634,0.9726128,0.003960999,2.155366663,0.239827553,0.050959891,0.441784376,2019
s2lam034_190602,57.59681817,2.170107537,0.124626578,0.069266125,0.800808923,1.197598596,1.673321967,0.955983565,0.987591435,0.976043626,0.003517701,0.182274576,0.380142282,0.082830821,0.382105926,2019
s2lam034_190610,57.3440642,2.25019388,0.044626671,0.501649495,0.638297824,2.021158873,0.853153074,0.957215298,0.987180653,0.978140068,0.003239527,0.386467731,0.364465965,0.056923907,0.406589935,2019
s2lam034_200701,68.01211932,1.972351611,0.327522794,0.28764075,0.733103665,1.496193709,3.095527904,0.902171527,0.965294611,0.967363941,0.009039217,0.979017769,0.336821951,0.034410712,0.331161826,2020
s2lam034_210410,57.84843289,2.156397681,0.12396446,0.527734191,0.584539299,1.991597837,1.171449519,0.96056129,0.9862503,0.978092729,0.002705121,0.240996264,0.473614344,0.12781112,0.410031667,2021
s2lam034_210502,58.32831984,1.827955199,0.401016826,-0.434668007,0.953998572,0.472280932,2.068671771,0.830563263,0.987758266,0.933093046,0.011121564,0.398263622,0.436816673,0.039621008,0.120979837,2021
s2lam034_210521,61.76339764,2.193974597,0.132863733,0.210140625,0.757835032,1.422345159,1.798171803,0.93770878,0.981958957,0.970963018,0.004050921,0.490707557,0.31702492,0.029569091,0.331753858,2021
s2lam034_210606,58.49816094,2.20287097,0.135685627,-0.1499954,0.915427993,0.819308801,2.169820064,0.908144684,0.986249761,0.962554654,0.005728189,0.340373097,0.479356859,0.063074515,0.223112892,2021
s2lam034_210624,66.55041689,2.027346879,0.307723844,0.331525234,0.650070227,1.527953059,3.647282353,0.910918086,0.961664052,0.965761406,0.005213382,0.792996836,0.391020053,0.027681525,0.356419146,2021
s2lam035_190405,60.98559935,1.79168052,0.413393742,-0.155053943,0.905763487,0.757645769,3.0120846,0.855399084,0.98471963,0.941979023,0.009480778,0.51142367,0.365237391,0.025701694,0.138360972,2019
s2lam035_190413,58.07187216,2.256223845,0.067998404,0.226608253,0.808862836,1.414198856,1.437317256,0.934798615,0.987714983,0.968799361,0.004208916,0.444058768,0.324834176,0.072983969,0.298306674,2019
s2lam035_190510,61.56970944,1.870226875,0.302449307,-0.403217016,0.964703469,0.430605384,3.564127249,0.867785278,0.976093081,0.945106242,0.007497618,0.271779395,0.396541956,0.04954479,0.166920986,2019
s2lam035_190524,58.92479891,2.080498544,0.223533944,-0.30832322,0.908563231,0.514209307,2.68517225,0.91974134,0.980833726,0.960247359,0.004633664,0.411250251,0.407341982,0.04412768,0.264495519,2019
s2lam035_190601,58.30561735,2.235777041,0.075330127,0.179481259,0.680516236,1.272446885,2.875462226,0.951331854,0.986661819,0.973155464,0.003508122,0.586447282,0.368869323,0.070744095,0.348129394,2019
s2lam035_190612,57.05223166,2.272157207,0.052279186,0.262152737,0.813323845,1.458307132,1.115060574,0.941571843,0.989140025,0.972856022,0.003580456,0.324439953,0.488709268,0.123435471,0.320634807,2019
s2lam035_190621,58.01793591,1.744618009,0.364247924,0.41500497,0.61484874,1.510737048,2.601936105,0.925097254,0.977837637,0.961085255,0.005103864,0.456631545,0.374711536,0.066880245,0.374938392,2019
s2lam036_190311,67.10064605,1.530025945,0.556202308,-0.318020699,0.916398681,0.537164832,3.40681922,0.769988317,0.981499082,0.919701472,0.027653661,0.422529594,0.334968554,0.028178884,0.087332244,2019
s2lam036_190326,73.2412739,1.760369967,0.400901021,0.071665546,0.866097187,1.118298097,3.450512051,0.864226441,0.971241596,0.959818621,0.019399757,0.277334489,0.505780319,0.039111888,0.231165227,2019
s2lam036_190407,79.0524057,1.764722044,0.44444492,0.137112857,0.825808038,1.167710738,3.197927192,0.829335578,0.971626195,0.947206438,0.021520078,0.372968355,0.386083988,0.026584949,0.156537248,2019
s2lam036_190416,59.18108572,2.156673102,0.1739525,0.136704365,0.780603227,1.077274262,3.105637897,0.910972238,0.987378665,0.962360384,0.005850829,0.432258769,0.357636862,0.067286603,0.233266828,2019
s2lam036_190427,57.80652458,2.026238569,0.265451154,0.088051696,0.704504697,0.887492332,2.210242881,0.898779409,0.981689907,0.952183404,0.006391433,0.394806479,0.297953305,0.054420314,0.2573162,2019
s2lam036_190513,65.67356072,1.790440549,0.39729077,0.077520494,0.828456283,1.096502421,3.412234264,0.892010683,0.965143559,0.955156956,0.009164262,0.339072368,0.383776169,0.040132356,0.265950902,2019
s2lam036_190530,58.94770153,2.151155717,0.171542723,0.447798296,0.593646369,1.681554528,3.085315731,0.914161152,0.987155672,0.963053142,0.005224724,0.361083268,0.464995497,0.088669396,0.265857962,2019
s2lam036_190705,57.71962538,2.221391224,0.076359772,0.211129894,0.786518904,1.323264925,1.519345407,0.952673407,0.988222587,0.97738363,0.008427559,0.304092461,0.378161997,0.099748873,0.392040657,2019
s2lam036_200528,60.55049396,2.174395569,0.130728318,0.678401704,0.422646712,2.210809466,2.400965052,0.948583252,0.980956051,0.976870654,0.003532314,1.959568393,0.28973568,0.067655143,0.42363601,2020
s2lam036_200710,56.96451436,2.245499555,0.051399938,0.528043214,0.594438683,2.05569033,1.033738874,0.964667553,0.986383353,0.98018225,0.00283284,3.56079649,0.270237492,0.090181003,0.49035247,2020
s2lam036_210328,57.5807814,2.266411555,0.04351221,0.502897928,0.613725815,1.989670203,1.378991959,0.966685924,0.98681485,0.981097559,0.003244827,1.406064338,0.296216169,0.091395456,0.452809836,2021
s2lam036_210413,57.36149015,2.270613271,0.040773541,0.342789505,0.665689588,1.626063462,1.6093501,0.960496135,0.987524933,0.978325096,0.00289088,1.865278281,0.266531261,0.07683079,0.420762495,2021
s2lam036_210501,58.1958643,2.272879349,0.046991181,-0.032971267,0.867518135,0.87460609,2.634375119,0.955269139,0.988799666,0.975831402,0.003307373,0.276058997,0.385820837,0.080235102,0.331814857,2021
s2lam036_210515,59.74409932,2.096291792,0.231501176,0.119673927,0.764998077,1.227281809,2.987026147,0.91772585,0.981232667,0.965301729,0.009498087,0.835335872,0.334361941,0.03465364,0.279455033,2021
s2lam037_190312,57.84104774,2.199313137,0.131560817,-0.39700924,0.966953621,0.444855945,2.675919484,0.915532227,0.986701081,0.962452977,0.006703066,0.254208103,0.535066496,0.092982061,0.215503753,2019
s2lam037_190405,58.06656715,2.134990402,0.165563698,-0.596623489,0.986687857,0.2628673,2.290034553,0.896479136,0.988933304,0.95442551,0.006790462,0.369698207,0.464758766,0.072669324,0.184087654,2019
s2lam037_190413,58.12966324,2.074588149,0.247417584,0.654232112,0.32228665,1.481390525,3.93134542,0.906800747,0.985545955,0.958487828,0.006686633,0.546751926,0.367720806,0.058128854,0.227508805,2019
s2lam037_190510,57.68433336,2.272767528,0.040932748,0.409249154,0.682298916,1.682455973,2.063698048,0.955191576,0.988080054,0.975892338,0.003891945,1.034689389,0.306694778,0.10857499,0.38844645,2019
s2lam037_190520,62.06160422,1.817877105,0.338525269,0.122499864,0.820803183,1.264027832,2.111996656,0.907479917,0.977827699,0.963411929,0.006347043,1.033935016,0.331862687,0.048712724,0.337142832,2019
s2lam037_190529,58.90366596,2.249286601,0.070275733,0.402049525,0.690402023,1.722657853,1.897184934,0.949731278,0.987505823,0.975996782,0.005900031,0.689997855,0.387749285,0.06303313,0.37380491,2019
s2lam037_190604,58.26632706,2.189553048,0.161411692,0.411184589,0.559715511,1.256451228,2.759854431,0.879158361,0.988957693,0.950829925,0.008703686,0.299066357,0.352091635,0.051088011,0.169318461,2019
s2lam037_190612,57.76090698,2.232821408,0.086470184,0.447901833,0.677607955,1.8601925,1.326116906,0.952076546,0.987673183,0.976246738,0.004009613,0.78421275,0.361762058,0.079142878,0.392800927,2019
s2lam037_190621,61.04139,2.023501972,0.234094565,0.348941594,0.709875383,1.575192069,2.25137075,0.925158035,0.982811313,0.968110766,0.006031542,0.461057618,0.384870568,0.050991567,0.3129348,2019
s2lam037_200522,60.93571277,2.217396636,0.117571434,0.523718162,0.558423045,1.84252366,2.903712426,0.953320174,0.983011421,0.977187238,0.004259157,1.570871663,0.334988857,0.053498496,0.399760056,2020
s2lam037_200603,66.36115471,2.067021014,0.258701103,0.317854522,0.731395807,1.559247249,3.089990066,0.918567933,0.961253178,0.969959794,0.005102888,1.112474842,0.396577696,0.041634527,0.39227145,2020
s2lam037_200623,56.87916253,2.288567384,0.027069795,0.449977992,0.659538553,1.876516526,1.045629125,0.943998504,0.989862131,0.972154791,0.004001048,0.199026717,0.321650225,0.121198114,0.319094549,2020
s2lam037_210329,62.72173156,2.075563069,0.267079571,-0.005597562,0.819155144,0.93535959,4.851315412,0.901813911,0.981049189,0.958637862,0.007711676,0.380332713,0.49542928,0.03270386,0.21747042,2021
s2lam037_210416,61.71455944,2.006532065,0.255721026,0.244998846,0.740003319,1.436095197,2.774789862,0.922975442,0.976772226,0.966524721,0.005364331,0.653186389,0.417341698,0.055220271,0.365472648,2021
s2lam037_210502,59.28412466,2.126543431,0.19862518,0.087013733,0.781031117,1.072688673,2.618669537,0.881858203,0.986485889,0.950082084,0.009624339,0.398044963,0.383862515,0.052349797,0.199002206,2021
s2lam037_210521,61.47185719,2.152941121,0.181399484,0.47633759,0.576921375,1.635547492,3.892760262,0.939629331,0.982202245,0.970694642,0.004401329,0.437424707,0.481522261,0.077254433,0.33075418,2021
s2lam037_210606,65.45619817,2.105335974,0.217800234,0.317404097,0.700052272,1.539638012,2.677540469,0.934472952,0.970121185,0.96956969,0.006305197,1.055374529,0.374804145,0.039198549,0.383085265,2021
s2lam037_210616,58.72029133,2.241963484,0.107475653,0.748084406,0.308307031,1.893205573,3.203419396,0.932574932,0.985491777,0.968471659,0.010115955,1.379543722,0.337335369,0.10087376,0.482910145,2021
s2lam038_190318,75.94011197,1.626701068,0.551231296,-0.182824953,0.924212202,0.765225515,4.079124513,0.78470804,0.976798148,0.936130381,0.031987689,0.503978986,0.486417402,0.03489289,0.06402271,2019
s2lam038_190329,58.80611939,1.971672136,0.259819864,-0.041642859,0.890073312,0.946825314,1.832980311,0.901042942,0.984083193,0.960328131,0.006220065,0.464039482,0.385619012,0.062496046,0.250892458,2019
s2lam038_190412,66.2849578,1.745186214,0.435938699,-0.307457892,0.937318272,0.595111851,3.05257535,0.822113065,0.981497243,0.935032439,0.015332535,0.346898087,0.331478652,0.030705498,0.124421573,2019
s2lam038_190421,62.56493913,2.142147416,0.180224344,0.548796336,0.501941352,1.729401491,3.576945963,0.943545716,0.976728781,0.974865738,0.005246258,0.318615211,0.395883726,0.024359863,0.386084867,2019
s2lam038_190527,61.94593184,1.611051607,0.53767377,-0.276920708,0.902694045,0.587010143,4.805553635,0.8520076,0.967975923,0.939742568,0.014718374,0.39133684,0.407365501,0.026031753,0.175187534,2019
s2lam038_190614,57.34381598,2.258082148,0.068076016,0.496525893,0.612597864,1.900706303,1.63570128,0.94170037,0.987404354,0.973219565,0.004088558,0.513269524,0.331846749,0.066904965,0.326749211,2019
s2lam038_190621,58.93309126,1.710081237,0.422815192,0.40863333,0.619968653,1.579631063,2.682312084,0.921229076,0.972691239,0.957633768,0.007034409,0.35097252,0.494541993,0.054248053,0.461808382,2019
