"site","wavs","preds","Anthropophony_mean","Anthropophony_var","Biophony_mean","Biophony_var","Geophony_mean","Geophony_var","Quiet_mean","Quiet_var","Interference_mean","Interference_var","Unidentified_mean","Unidentified_var","Anthropophony","Biophony","Geophony","Quiet","Interference","Unidentified"
"s2lam007_190614",568,17040,0.0592723004694836,0.0557623673059347,0.270305164319249,0.197251858274872,0.000821596244131455,0.000820969402698642,0.467370892018779,0.248949951051261,0.00404929577464789,0.00403313566474261,0.202640845070423,0.161587015785658,1010,4606,14,7964,69,3453
"s2lam007_190627",434,13020,0.00622119815668203,0.00618296973264527,0.207987711213518,0.164741476152838,0.0142089093701997,0.0140080921550436,0.184024577572965,0.150171066298116,0.297081413210445,0.208840087080574,0.321428571428571,0.218128998277243,81,2708,185,2396,3868,4185
"s2lam008_180612",1284,38520,0.0163551401869159,0.0160880672312948,0.330036344755971,0.221118096241266,0.0947819314641744,0.0858005443605571,0.210643821391485,0.166277318550053,0.140965732087227,0.121097538221822,0.246417445482866,0.185700708935243,630,12713,3651,8114,5430,9492
"s2lam008_180707",997,29910,0.0633233032430625,0.0593154456403638,0.0735539953192912,0.06814608346309,0.0776328986960883,0.0716084258660498,0.133667669675694,0.11580449552431,0.0404881310598462,0.038850141204538,0.619725844199264,0.23567360165577,1894,2200,2322,3998,1211,18536
"s2lam008_190311",459,13770,0.116993464052288,0.103313496216992,0.421786492374728,0.243900359669372,0.0618736383442266,0.0580495068727372,0.00668119099491649,0.006637034674157,0.191648511256354,0.154930610704807,0.234785766158315,0.179674458421829,1611,5808,852,92,2639,3233
"s2lam008_190401",463,13890,0.606407487401008,0.238694631263684,0.0298776097912167,0.0289870251232375,0.0218142548596112,0.0213399294965467,0.00309575233981281,0.00308639085962906,0.128869690424766,0.112270376135047,0.232181425485961,0.178286046713786,8423,415,303,43,1790,3225
"s2lam008_190422",459,13770,0.0241830065359477,0.0235999025944898,0.166521423384168,0.138802118975968,0.0761801016702977,0.0703818050219956,0.162817719680465,0.136318009476098,0.388888888888889,0.237671581087951,0.216122004357298,0.16942558755412,333,2293,1049,2242,5355,2976
"s2lam008_190528",417,12510,0.0144684252597922,0.0142602298367557,0.504076738609113,0.250003364484046,0.0751398880895284,0.0694994408182783,0.00855315747402078,0.00848067888322646,0.220623501199041,0.171962517922348,0.211350919264588,0.166695033133298,181,6306,940,107,2760,2644
"s2lam008_190611",688,20640,0.200484496124031,0.160298229325004,0.206346899224806,0.163775791278722,0.0210271317829457,0.0205859888951113,0.0384205426356589,0.036946194568047,0.00518410852713178,0.00515748342398357,0.534447674418605,0.248825413221976,4138,4259,434,793,107,11031
"s2lam008_200522",857,25710,0.0194476857253987,0.0190702149884204,0.426643329443796,0.244628313794041,0.0763516141579152,0.0705247882612319,0.0399066511085181,0.038315600605339,0.187864644107351,0.152577454158524,0.29120964605212,0.206414616671507,500,10969,1963,1026,4830,7487
"s2lam008_200616",707,21210,0.0116925978312117,0.0115564258445877,0.361951909476662,0.230953613604963,0.0698255539839698,0.0649530083714339,0.121782178217822,0.106956322017227,0.0346534653465347,0.0334541799693666,0.407355021216407,0.24142829066388,248,7677,1481,2583,735,8640
"s2lam008_200702",570,17100,0.0245029239766082,0.0239039285837652,0.147426900584795,0.125699560420243,0.0816959064327485,0.0750260727945172,0.314269005847953,0.215516601121299,0.0994152046783626,0.0895370578423758,0.35327485380117,0.228485093174287,419,2521,1397,5374,1700,6041
"s2lam008_210322",427,12810,0.100858704137393,0.0906933058204769,0.191803278688525,0.155026882993387,0.110694769711163,0.0984491230033235,0.0181108508977361,0.0177842362863397,0.207103825136612,0.164224650785586,0.414754098360656,0.242752086455604,1292,2457,1418,232,2653,5313
"s2lam008_210403",471,14130,0.040410474168436,0.0387802122761571,0.397169143665959,0.239442760687001,0.0113941967445152,0.0112651662767452,0.150247699929229,0.127682364855988,0.167303609341826,0.139322971725948,0.258527954706299,0.191704818561674,571,5612,161,2123,2364,3653
"s2lam008_210418",581,17430,0.189443488238669,0.153563463298865,0.262765347102697,0.193730834257252,0.0171543316121629,0.016861027875837,0,0,0.126620768789443,0.110594294754817,0.417842799770511,0.243264151085626,3302,4580,299,0,2207,7283
"s2lam009_180604",711,21330,0.0141115799343647,0.013913095524392,0.169151429910924,0.140545812784537,0.0666666666666667,0.0622251394814572,0.419596812001875,0.243546745397497,0.00421940928270042,0.0042018028582942,0.32836380684482,0.220551357159683,301,3608,1422,8950,90,7004
"s2lam009_180707",1001,30030,0.0693972693972694,0.0645834390281425,0.238494838494838,0.181621098494787,0.171162171162171,0.141870406614487,0.00606060606060606,0.00602407571670617,0.00819180819180819,0.00812497303222936,0.516317016317016,0.249742071397804,2084,7162,5140,182,246,15505
"s2lam009_190312",426,12780,0.0323943661971831,0.0313474240859509,0.0651017214397496,0.0608682500792025,0.0931924882629108,0.0845142614037775,0,0,0.00641627543035994,0.00637560571364821,0.804381846635368,0.157364004741249,414,832,1191,0,82,10280
"s2lam009_190403",574,17220,0.0228803716608595,0.0223581586367165,0.231010452961672,0.177654940363463,0.124680603948897,0.109141689025014,0.0340882694541231,0.0329281715448301,0.16527293844367,0.137965806213445,0.45191637630662,0.247702349705667,394,3978,2147,587,2846,7782
"s2lam010_180604",158,4740,0.0229957805907173,0.022471715533997,0.168565400843882,0.140180680465444,0.0128691983122363,0.0127062626931744,0.559915611814346,0.246462115687851,0.00907172995780591,0.00899133057856391,0.228902953586498,0.176543636918896,109,799,61,2654,43,1085
"s2lam010_180707",1329,39870,0.0540506646601455,0.0511304727396571,0.149535991973915,0.127178168899434,0.117281163782292,0.10352888906554,0.133358414848257,0.115576846879827,0.0220466516177577,0.0215611375561963,0.530524203661901,0.249074520157101,2155,5962,4676,5317,879,21152
"s2lam010_190311",145,4350,0.477241379310345,0.249539410566044,0.114942528735632,0.101754135578796,0.0110344827586207,0.0109152321976515,0,0,0.176091954022988,0.145116937966979,0.248965517241379,0.18702468264603,2076,500,48,0,766,1083
"s2lam010_190324",879,26370,0.0134622677284793,0.0132815387370166,0.0467197572999621,0.0445387105694735,0.302768297307546,0.21110766105262,0.0818354190367842,0.0751412327247381,0.0668941979522184,0.0624217313820125,0.502995828593098,0.250000505500442,355,1232,7984,2158,1764,13264
